Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/11/2024,"IC* COSTCO BY INSTAC WWW.COSTCO.CO CA        03/09",-138.44,DEBIT_CARD,5542.60,,
DEBIT,03/11/2024,"Autosave General Saving 11514469321",-830.00,ACCT_XFER,5681.04,,
DEBIT,03/11/2024,"ADVS ED SERV PPD STUDNTLOAN                 PPD ID: 9102001101",-311.47,ACH_DEBIT,6511.04,,
DEBIT,03/11/2024,"YOUR CBD STORE - AHWATU PHOENIX AZ           03/08",-65.16,DEBIT_CARD,6822.51,,
DEBIT,03/11/2024,"ORBITEL COMMUNICATION 520-568-8890 AZ        03/08",-49.95,DEBIT_CARD,6887.67,,
DEBIT,03/08/2024,"TST* FLORIDINOS Chandler AZ                  03/07",-53.25,DEBIT_CARD,6937.62,,
DEBIT,03/08/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         03/07",-25.00,DEBIT_CARD,6990.87,,
DEBIT,03/08/2024,"Touchtunes.helpshift.c 847-4192345 NY        03/07",-5.00,DEBIT_CARD,7015.87,,
DEBIT,03/08/2024,"Touchtunes.helpshift.c 847-4192345 NY        03/07",-5.00,DEBIT_CARD,7020.87,,
CREDIT,03/08/2024,"ADP TOTALSOURCE  DIRECT DEP                 PPD ID: 9111111102",2913.92,ACH_CREDIT,7025.87,,
DEBIT,03/07/2024,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-0.38,ACH_DEBIT,4111.95,,
DEBIT,03/07/2024,"OPENAI HTTPSOPENAI.C CA                      03/07",-4.15,DEBIT_CARD,4112.33,,
DEBIT,03/07/2024,"METAPAY*Jessica Pugh pay.fb.com CA           03/06",-150.00,DEBIT_CARD,4116.48,,
DEBIT,03/07/2024,"METAPAY*Jessica Pugh pay.fb.com CA           03/06",-150.00,DEBIT_CARD,4266.48,,
DEBIT,03/07/2024,"GRUBHUBBLACKBEARDINER GRUBHUB.COM NY         03/07",-34.01,DEBIT_CARD,4416.48,,
DEBIT,03/06/2024,"PAYPAL           INST XFER  ENVATO USA ENVA WEB ID: PAYPALSI77",-55.67,ACH_DEBIT,4450.49,,
DEBIT,03/06/2024,"CIRCLE K 05282 PHOENIX AZ                    03/05",-39.94,DEBIT_CARD,4506.16,,
DEBIT,03/06/2024,"U-HAUL STORAGE OF APA 800-789-3638 AZ        03/05",-61.33,DEBIT_CARD,4546.10,,
DEBIT,03/06/2024,"Taiga Smoke and Vape Tempe AZ                03/04",-46.45,DEBIT_CARD,4607.43,,
DEBIT,03/05/2024,"COX PHOENIX COMM SERV 800-234-3993 AZ        03/05",-106.30,DEBIT_CARD,4653.88,,
DEBIT,03/05/2024,"SCHWAB BROKERAGE MONEYLINK  558622439549064 WEB ID: 9005586224",-1000.00,ACH_DEBIT,4760.18,,
DEBIT,03/05/2024,"IC* INSTACART 888-2467822 CA                 03/05",-86.54,DEBIT_CARD,5760.18,,
DEBIT,03/04/2024,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-16.28,ACH_DEBIT,5846.72,,
DEBIT,03/04/2024,"CIRCLE K # 03480 4810 PHOENIX AZ             03/04",-14.19,DEBIT_CARD,5863.00,,
DEBIT,03/04/2024,"SYNCHRONY BANK   PAYMENT    504662204854782 WEB ID: 1061537262",-144.00,ACH_DEBIT,5877.19,,
DEBIT,03/04/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.37,ACH_DEBIT,6021.19,,
DEBIT,03/04/2024,"DAVE & BUSTERS #52 TEMPE AZ                  03/02",-51.89,DEBIT_CARD,6027.56,,
DEBIT,03/04/2024,"GENGHIS GRILL AZ01 TEMPE AZ                  03/02",-53.10,DEBIT_CARD,6079.45,,
DEBIT,03/04/2024,"GRUBHUBCVS GRUBHUB.COM NY                    03/03",-42.50,DEBIT_CARD,6132.55,,
DEBIT,03/04/2024,"JOLIES PLACE CHANDLER AZ                     03/01",-77.20,DEBIT_CARD,6175.05,,
DEBIT,03/04/2024,"GRUBHUBBLACKBEARDINER GRUBHUB.COM NY         03/02",-34.01,DEBIT_CARD,6252.25,,
CREDIT,03/04/2024,"Online Transfer from SAV ...8306 transaction#: 20036972800",5000.00,ACCT_XFER,6286.26,,
DEBIT,03/01/2024,"CVS/PHARM 03143--WARNE CHANDLER AZ           03/01",-9.26,DEBIT_CARD,1286.26,,
DEBIT,03/01/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         02/29",-50.00,DEBIT_CARD,1295.52,,
DEBIT,03/01/2024,"CALENDLY HTTPSCALENDLY GA                    02/29",-10.71,DEBIT_CARD,1345.52,,
DEBIT,03/01/2024,"MINDVALLEY 188865056 HTTPSMINDVALL CA        03/01",-49.00,DEBIT_CARD,1356.23,,
DEBIT,03/01/2024,"PL*ConAmProperty WEB PMTS   9V3X16          WEB ID: 9000350702",-1881.30,ACH_DEBIT,1405.23,,
DEBIT,02/29/2024,"PIZZA HUT 35855 https://ipcha AZ             02/28",-38.16,DEBIT_CARD,3286.53,,
DEBIT,02/29/2024,"CVS/PHARMACY #09290 800-746-7287 AZ          02/28",-135.00,DEBIT_CARD,3324.69,,
DEBIT,02/29/2024,"TREND SMOKE & VAPE PHOENIX AZ                02/27",-54.27,DEBIT_CARD,3459.69,,
DEBIT,02/28/2024,"MOHELA           QDR                        PPD ID: 3431261525",-152.21,ACH_DEBIT,3513.96,,
DEBIT,02/28/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         02/27",-50.00,DEBIT_CARD,3666.17,,
DEBIT,02/28/2024,"JOLIES PLACE CHANDLER AZ                     02/26",-26.65,DEBIT_CARD,3716.17,,
DEBIT,02/27/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-17.00,ACH_DEBIT,3742.82,,
DEBIT,02/26/2024,"NON-CHASE ATM FEE-WITH",-3.00,FEE_TRANSACTION,3759.82,,
DEBIT,02/26/2024,"NON-CHASE ATM FEE-WITH",-3.00,FEE_TRANSACTION,3762.82,,
DEBIT,02/26/2024,"IC* INSTACART 888-2467822 CA                 02/26",-12.05,DEBIT_CARD,3765.82,,
DEBIT,02/26/2024,"IC* INSTACART 888-2467822 CA                 02/25",-49.61,DEBIT_CARD,3777.87,,
DEBIT,02/26/2024,"MCDONALD'S F32229 MARICOPA AZ                02/24",-17.88,DEBIT_CARD,3827.48,,
DEBIT,02/26/2024,"OASIS BAR MARICOPA AZ                        02/24",-24.00,DEBIT_CARD,3845.36,,
DEBIT,02/26/2024,"NON-CHASE ATM WITHDRAW               742608  02/2415406 NOR",-304.75,ATM,3869.36,,
DEBIT,02/26/2024,"WHP-FATBURGER CHANDLER AZ                    02/25",-11.50,DEBIT_CARD,4174.11,,
DEBIT,02/26/2024,"NON-CHASE ATM WITHDRAW               889881  02/245040 WEST",-103.00,ATM,4185.61,,
DEBIT,02/26/2024,"GRUBHUBGOPUFFCONVENIE GRUBHUB.COM NY         02/25",-26.68,DEBIT_CARD,4288.61,,
DEBIT,02/26/2024,"Autosave General Saving 11509077823",-830.00,ACCT_XFER,4315.29,,
DEBIT,02/26/2024,"Autosave General Saving 11509059148",-830.00,ACCT_XFER,5145.29,,
DEBIT,02/26/2024,"SQ *DULCE CHURRO CAFE I Chandler AZ          02/23",-14.54,DEBIT_CARD,5975.29,,
DEBIT,02/26/2024,"JOLIES PLACE CHANDLER AZ                     02/23",-62.10,DEBIT_CARD,5989.83,,
DEBIT,02/26/2024,"VITAL4MEN CHANDLER AZ                        02/23",-300.00,DEBIT_CARD,6051.93,,
DEBIT,02/26/2024,"VITAL4MEN CHANDLER AZ                        02/23",-45.00,DEBIT_CARD,6351.93,,
DEBIT,02/26/2024,"GRUBHUBNEKTERJUICEBAR GRUBHUB.COM NY         02/24",-40.51,DEBIT_CARD,6396.93,,
DEBIT,02/23/2024,"DJs Smoke Shop 2 Chandler AZ         587866  02/23",-25.70,DEBIT_CARD,6437.44,,
DEBIT,02/23/2024,"GEICO  *AUTO 800-841-3000 DC                 02/23",-118.25,DEBIT_CARD,6463.14,,
DEBIT,02/23/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         02/22",-25.00,DEBIT_CARD,6581.39,,
DEBIT,02/23/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         02/22",-50.00,DEBIT_CARD,6606.39,,
DEBIT,02/23/2024,"GRUBHUBBLACKBEARDINER GRUBHUB.COM NY         02/23",-29.10,DEBIT_CARD,6656.39,,
CREDIT,02/23/2024,"ADP TOTALSOURCE  DIRECT DEP                 PPD ID: 9111111102",2913.92,ACH_CREDIT,6685.49,,
CREDIT,02/23/2024,"SCHWAB BROKERAGE MONEYLINK                  PPD ID: 9005586224",3000.00,ACH_CREDIT,3771.57,,
DEBIT,02/22/2024,"PETSMART # 2474 PHOENIX AZ                   02/21",-11.76,DEBIT_CARD,771.57,,
DEBIT,02/22/2024,"WWW.MYNDLIFT.COM HTTPSWWW.MYND DE            02/22",-120.00,DEBIT_CARD,783.33,,
DEBIT,02/22/2024,"GRUBHUBCVS GRUBHUB.COM NY                    02/21",-26.25,DEBIT_CARD,903.33,,
DEBIT,02/21/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         02/20",-50.00,DEBIT_CARD,929.58,,
DEBIT,02/20/2024,"PAYPAL           INST XFER  WORDPRESS       WEB ID: PAYPALSI77",-32.41,ACH_DEBIT,979.58,,
DEBIT,02/20/2024,"PAYPAL           INST XFER  WORDPRESS       WEB ID: PAYPALSI77",-10.77,ACH_DEBIT,1011.99,,
DEBIT,02/20/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-20.19,ACH_DEBIT,1022.76,,
DEBIT,02/20/2024,"PAYPAL           INST XFER  INTERAXONIN     WEB ID: PAYPALSI77",-86.87,ACH_DEBIT,1042.95,,
DEBIT,02/20/2024,"CIRCLE K 05282 5060 E PHOENIX AZ             02/19",-40.94,DEBIT_CARD,1129.82,,
DEBIT,02/20/2024,"RF *CARING FOR FAMIL PHOENIX AZ              02/19",-25.00,DEBIT_CARD,1170.76,,
DEBIT,02/20/2024,"PIZZA HUT 35855 https://ipcha AZ             02/18",-46.25,DEBIT_CARD,1195.76,,
DEBIT,02/20/2024,"PURE NOOTROPICS 424-738-0385 NM              02/19",-33.87,DEBIT_CARD,1242.01,,
DEBIT,02/20/2024,"CIRCLE K # 03480 4810 PHOENIX AZ             02/18",-16.50,DEBIT_CARD,1275.88,,
DEBIT,02/20/2024,"GRUBHUBIHOP GRUBHUB.COM NY                   02/19",-35.29,DEBIT_CARD,1292.38,,
DEBIT,02/20/2024,"U-HAUL STORAGE OF APA 800-789-3638 AZ        02/18",-56.21,DEBIT_CARD,1327.67,,
DEBIT,02/20/2024,"WHP-RIVER BAR CHANDLER AZ                    02/18",-10.00,DEBIT_CARD,1383.88,,
DEBIT,02/20/2024,"PY *BLACK ROCK COFFEE CHANDLER AZ            02/18",-13.82,DEBIT_CARD,1393.88,,
DEBIT,02/20/2024,"VZWRLSS*APOCC VISW 800-922-0204 FL           02/17",-75.70,DEBIT_CARD,1407.70,,
DEBIT,02/20/2024,"DOMINOS 7563 310-698-7894 AZ                 02/16",-59.60,DEBIT_CARD,1483.40,,
DEBIT,02/20/2024,"GRUBHUBDAIRYQUEEN GRUBHUB.COM NY             02/17",-35.94,DEBIT_CARD,1543.00,,
DEBIT,02/20/2024,"METAPAY*Jessica Pugh MENLO PARK CA   002782  02/20",400.00,DEBIT_CARD,1578.94,,
CREDIT,02/20/2024,"Online Transfer from SAV ...8306 transaction#: 19908978594",500.00,ACCT_XFER,1178.94,,
DEBIT,02/16/2024,"PAYPAL           INST XFER  EXPRESSVPN      WEB ID: PAYPALSI77",-12.95,ACH_DEBIT,678.94,,
DEBIT,02/16/2024,"TREND VAPE PHOENIX AZ                        02/15",-32.56,DEBIT_CARD,691.89,,
DEBIT,02/16/2024,"MAJESTIC CHANDLER 9 ALO CHANDLER AZ          02/15",-71.38,DEBIT_CARD,724.45,,
DEBIT,02/15/2024,"MAJESTIC CHANDLER 9 EC 520-2138129 AZ        02/14",-28.88,DEBIT_CARD,795.83,,
DEBIT,02/15/2024,"GRUBHUBPIEOLOGY GRUBHUB.COM NY               02/14",-39.02,DEBIT_CARD,824.71,,
DEBIT,02/14/2024,"Store Sun Lakes AZ                           02/14",-24.95,DEBIT_CARD,863.73,,
DEBIT,02/14/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         02/13",-50.00,DEBIT_CARD,888.68,,
DEBIT,02/14/2024,"1-800-FLOWERS.COM,INC 800-468-1141 NY        02/14",-116.39,DEBIT_CARD,938.68,,
DEBIT,02/14/2024,"GRUBHUBCVS GRUBHUB.COM NY                    02/13",-39.86,DEBIT_CARD,1055.07,,
DEBIT,02/13/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-3.18,ACH_DEBIT,1094.93,,
DEBIT,02/13/2024,"DEEPL* DP-5049636 KOLN                       02/13",-5.92,DEBIT_CARD,1098.11,,
DEBIT,02/13/2024,"METAPAY*Jessica Pugh pay.fb.com CA           02/12",-73.00,DEBIT_CARD,1104.03,,
DEBIT,02/13/2024,"TST* MOKU HAWAIIAN AH 480-704-0108 AZ        02/13",-30.38,DEBIT_CARD,1177.03,,
DEBIT,02/13/2024,"GRUBHUBBLACKBEARDINER GRUBHUB.COM NY         02/13",-24.76,DEBIT_CARD,1207.41,,
DEBIT,02/13/2024,"CIRCLE K 05282 PHOENIX AZ                    02/12",-33.71,DEBIT_CARD,1232.17,,
DEBIT,02/12/2024,"CIRCLE K # 03480 4810 PHOENIX AZ             02/12",-11.00,DEBIT_CARD,1265.88,,
DEBIT,02/12/2024,"Netflix 1 8445052993 CA                      02/12",-7.54,DEBIT_CARD,1276.88,,
DEBIT,02/12/2024,"Rocket Money     Premium    ST-Z1R3Q5Z0E2C6 CCD ID: 4270465600",-8.68,MISC_DEBIT,1284.42,,
DEBIT,02/12/2024,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-16.16,ACH_DEBIT,1293.10,,
DEBIT,02/12/2024,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-22.16,ACH_DEBIT,1309.26,,
DEBIT,02/12/2024,"COINBASE INC.    8889087930 RTL-L3QGFCE7    WEB ID: 1327000623",-100.00,ACH_DEBIT,1331.42,,
DEBIT,02/12/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-255.11,ACH_DEBIT,1431.42,,
DEBIT,02/12/2024,"IC* INSTACART*SUBSCR HTTPSINSTACAR CA        02/12",-10.55,DEBIT_CARD,1686.53,,
DEBIT,02/12/2024,"PETSMART #2464 CHANDLER AZ                   02/11",-8.43,DEBIT_CARD,1697.08,,
DEBIT,02/12/2024,"PETCO 1151 CHANDLER AZ               593478  02/11",-33.24,DEBIT_CARD,1705.51,,
DEBIT,02/12/2024,"MCDONALD'S F24901 SUN LAKES AZ               02/11",-26.53,DEBIT_CARD,1738.75,,
DEBIT,02/12/2024,"BASHAS' #011 PHOENIX AZ              633203  02/10",-23.88,DEBIT_CARD,1765.28,,
DEBIT,02/12/2024,"JACK IN THE BOX 1502 GILBERT AZ              02/10",-22.59,DEBIT_CARD,1789.16,,
DEBIT,02/12/2024,"Autosave General Saving 11504283389",-830.00,ACCT_XFER,1811.75,,
DEBIT,02/12/2024,"ADVS ED SERV PPD STUDNTLOAN                 PPD ID: 9102001101",-311.47,ACH_DEBIT,2641.75,,
DEBIT,02/12/2024,"MCDONALD'S F11340 CHANDLER AZ                02/09",-13.06,DEBIT_CARD,2953.22,,
DEBIT,02/12/2024,"METAPAY*Jessica Pugh pay.fb.com CA           02/09",-60.00,DEBIT_CARD,2966.28,,
DEBIT,02/12/2024,"FIBBER MAGEES CHANDLER AZ                    02/10",-9.03,DEBIT_CARD,3026.28,,
DEBIT,02/12/2024,"GOBRANDS INC. help_me@grubh AZ               02/10",-50.70,DEBIT_CARD,3035.31,,
DEBIT,02/12/2024,"VISIONWORKS 387 CHANDLER AZ                  02/09",-234.00,DEBIT_CARD,3086.01,,
DEBIT,02/12/2024,"VISIONWORKS 80387 CHANDLER AZ                02/09",-168.00,DEBIT_CARD,3320.01,,
DEBIT,02/12/2024,"DESERT SHORES DENTISTRY PHOENIX AZ           02/09",-63.00,DEBIT_CARD,3488.01,,
DEBIT,02/12/2024,"GRUBHUBPORTILLOSHOTDO GRUBHUB.COM NY         02/09",-30.76,DEBIT_CARD,3551.01,,
DEBIT,02/12/2024,"METAPAY*Jessica Pugh MENLO PARK CA   228507  02/10",60.00,DEBIT_CARD,3581.77,,
CREDIT,02/12/2024,"Online Transfer from SAV ...8306 transaction#: 19829027074",860.00,ACCT_XFER,3521.77,,
DEBIT,02/09/2024,"Payment to Chase card ending in 9901 02/09",-2344.85,LOAN_PMT,2661.77,,
DEBIT,02/09/2024,"Nintendo CD1150269500 800-2553700 WA         02/09",-4.30,DEBIT_CARD,5006.62,,
DEBIT,02/09/2024,"Microsoft G038942951 701-2817490 WA          02/09",-34.39,DEBIT_CARD,5010.92,,
DEBIT,02/09/2024,"SONGFINCH.COM WWW.SONGFINCH IL               02/09",-238.11,DEBIT_CARD,5045.31,,
DEBIT,02/09/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         02/08",-25.00,DEBIT_CARD,5283.42,,
DEBIT,02/09/2024,"GRUBHUBGOPUFFCONVENIE GRUBHUB.COM NY         02/09",-36.44,DEBIT_CARD,5308.42,,
CREDIT,02/09/2024,"ADP TOTALSOURCE  DIRECT DEP                 PPD ID: 9111111102",2913.93,ACH_CREDIT,5344.86,,
DEBIT,02/07/2024,"U-HAUL STORAGE OF APA 800-789-3638 AZ        02/05",-61.33,DEBIT_CARD,2430.93,,
DEBIT,02/06/2024,"CIRCLE K # 03480 4810 PHOENIX AZ             02/06",-14.26,DEBIT_CARD,2492.26,,
DEBIT,02/06/2024,"ORBITEL COMMUNICATION 520-568-8890 AZ        02/05",-49.95,DEBIT_CARD,2506.52,,
DEBIT,02/06/2024,"APPLE.COM/BILL 866-712-7753 CA               02/06",-6.46,DEBIT_CARD,2556.47,,
DEBIT,02/06/2024,"GRUBHUBKFC GRUBHUB.COM NY                    02/06",-49.01,DEBIT_CARD,2562.93,,
DEBIT,02/06/2024,"METAPAY*Jessica Pugh MENLO PARK CA   414947  02/06",400.00,DEBIT_CARD,2611.94,,
DEBIT,02/05/2024,"NON-CHASE ATM FEE-WITH",-3.00,FEE_TRANSACTION,2211.94,,
DEBIT,02/05/2024,"NON-CHASE ATM WITHDRAW               436907  02/057200 W CH",-102.00,ATM,2214.94,,
DEBIT,02/05/2024,"SYNCHRONY BANK   PAYMENT    504662204854782 WEB ID: 1061537262",-149.00,ACH_DEBIT,2316.94,,
DEBIT,02/05/2024,"PAYPAL           INST XFER  GITHUB INC      WEB ID: PAYPALSI77",-4.00,ACH_DEBIT,2465.94,,
DEBIT,02/05/2024,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-16.28,ACH_DEBIT,2469.94,,
DEBIT,02/05/2024,"AMZN Digital*RB6U553T 888-802-3080 WA        02/04",-8.68,DEBIT_CARD,2486.22,,
DEBIT,02/05/2024,"GRUBHUBGOPUFFCONVENIE GRUBHUB.COM NY         02/05",-19.57,DEBIT_CARD,2494.90,,
DEBIT,02/05/2024,"GRUBHUBWHATABURGER GRUBHUB.COM NY            02/04",-35.35,DEBIT_CARD,2514.47,,
DEBIT,02/05/2024,"COX PHOENIX COMM SERV 800-234-3993 AZ        02/03",-106.30,DEBIT_CARD,2549.82,,
DEBIT,02/05/2024,"JOLIES PLACE CHANDLER AZ                     02/02",-87.65,DEBIT_CARD,2656.12,,
DEBIT,02/05/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         02/02",-25.00,DEBIT_CARD,2743.77,,
DEBIT,02/05/2024,"YOUR CBD STORE - AHWATU PHOENIX AZ           02/02",-65.16,DEBIT_CARD,2768.77,,
DEBIT,02/05/2024,"GRUBHUBPIEOLOGY GRUBHUB.COM NY               02/03",-26.54,DEBIT_CARD,2833.93,,
DEBIT,02/02/2024,"EXTRACT LABS 303-9276130 CO                  02/02",-38.20,DEBIT_CARD,2860.47,,
DEBIT,02/02/2024,"APPLE.COM/BILL 866-712-7753 CA               02/01",-14.00,DEBIT_CARD,2898.67,,
DEBIT,02/02/2024,"GRUBHUBCVS GRUBHUB.COM NY                    02/02",-55.02,DEBIT_CARD,2912.67,,
CREDIT,02/02/2024,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",704.28,ACH_CREDIT,2967.69,,
CREDIT,02/02/2024,"Online Transfer from SAV ...8306 transaction#: 19759100517",1400.00,ACCT_XFER,2263.41,,
DEBIT,02/01/2024,"APPLE.COM/BILL 866-712-7753 CA               02/01",-10.77,DEBIT_CARD,863.41,,
DEBIT,02/01/2024,"METAPAY*Jessica Pugh pay.fb.com CA           01/31",-200.00,DEBIT_CARD,874.18,,
DEBIT,02/01/2024,"CVS/PHARMACY #09290 800-746-7287 AZ          01/31",-20.00,DEBIT_CARD,1074.18,,
DEBIT,02/01/2024,"CALENDLY HTTPSCALENDLY GA                    01/31",-10.71,DEBIT_CARD,1094.18,,
DEBIT,02/01/2024,"PYL*Con Am Property Ma 866-7295327 CA        01/31",-1581.62,DEBIT_CARD,1104.89,,
DEBIT,02/01/2024,"GRUBHUBBLACKBEARDINER GRUBHUB.COM NY         02/01",-20.48,DEBIT_CARD,2686.51,,
DEBIT,02/01/2024,"GRUBHUBNATIVEGRILLWIN GRUBHUB.COM NY         02/01",-35.76,DEBIT_CARD,2706.99,,
CREDIT,02/01/2024,"Online Transfer from SAV ...8306 transaction#: 19731450746",400.00,ACCT_XFER,2742.75,,
DEBIT,01/31/2024,"CIRCLE K 06360 4410 E PHOENIX AZ             01/31",-35.29,DEBIT_CARD,2342.75,,
DEBIT,01/31/2024,"CIRCLE K 06360 4410 E PHOENIX AZ             01/31",-19.07,DEBIT_CARD,2378.04,,
DEBIT,01/31/2024,"RF *CARING FOR FAMIL PHOENIX AZ              01/30",-25.00,DEBIT_CARD,2397.11,,
CREDIT,01/31/2024,"Online Transfer from SAV ...8306 transaction#: 19725949542",600.00,ACCT_XFER,2422.11,,
DEBIT,01/30/2024,"SALAD AND GO #1110 CHANDLER AZ               01/29",-6.94,DEBIT_CARD,1822.11,,
